request_parameters.type;"""request_parameters.amazon_domain""";"""request_parameters.search_term""";"""request_parameters.sort_by""";"""request_parameters.page""";"""search_results.position""";"""search_results.title""";"""search_results.asin""";"""search_results.link""";"""search_results.image""";"""search_results.rating""";"""search_results.ratings_total""";"""search_results.is_prime""";"""search_results.sponsored""";"""search_results.price.currency""";"""search_results.price.value""";"""search_results.page""";"""search_results.add_on_item.is_add_on_item""";
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;1;"""LC to LC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 LSZH - Beyondtech PureOptics Cable Series""";"""B00IXP05IQ""";"""https://www.amazon.com/dp/B00IXP05IQ""";"""https://m.media-amazon.com/images/I/81fmdyLusCL._AC_UY218_.jpg""";4.8;182;FALSE;TRUE;"""USD""";9.99;;;
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;2;"""FiberCablesDirect - 1M OM3 LC LC Fiber Patch Cable | 10Gb Duplex 50/125 LC to LC Multimode Jumper 1 Meter (3.28ft) | Length Options: 0.5M-300M | 10gbps lc-lc dplx mmf 10gbase dx sfp+ aqua ofnr lommf""";"""B0099S4JO2""";"""https://www.amazon.com/dp/B0099S4JO2""";"""https://m.media-amazon.com/images/I/61GYozRRTfL._AC_UY218_.jpg""";4.5;42;FALSE;TRUE;"""USD""";9.55;;;
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;3;"""Fiber Patch Cable"; VANDESAIL 10G Gigabit Fiber Optic Cables with LC to LC Multimode OM3 Duplex 50/125 OFNP (1M; OM3-5Pack)";"""B01LN5XOCG""";"""https://www.amazon.com/dp/B01LN5XOCG""";"""https://m.media-amazon.com/images/I/511SNO1ADWL._AC_UY218_.jpg""";4.8;98;FALSE;FALSE;"""USD""";23.99;
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;4;"""LC to LC Fiber Patch Cable Multimode Duplex - 5m (16.4ft) - 50/125um OM3 10G LSZH - Beyondtech PureOptics Cable Series""";"""B00IS6PTY0""";"""https://www.amazon.com/dp/B00IS6PTY0""";"""https://m.media-amazon.com/images/I/81toYD9onlL._AC_UY218_.jpg""";4.8;107;FALSE;FALSE;"""USD""";13.68;;;
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;5;"""LC to LC Fiber Cable Multimode Fiber Patch Cable"; AllChinaFiber Duplex Fiber Optic Cable 62.5/125 OFNR (6FT; OM1; Orange)";"""B087CQXK4K""";"""https://www.amazon.com/dp/B087CQXK4K""";"""https://m.media-amazon.com/images/I/61R792WzNPL._AC_UY218_.jpg""";4.7;7;FALSE;FALSE;"""USD""";12.99
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;6;"""LC to LC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 LSZH - Beyondtech PureOptics Cable Series""";"""B00IXP05IQ""";"""https://www.amazon.com/dp/B00IXP05IQ""";"""https://m.media-amazon.com/images/I/81fmdyLusCL._AC_UY218_.jpg""";4.8;182;FALSE;FALSE;"""USD""";9.99;;;
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;7;"""LC to LC Fiber Patch Cable Multimode Duplex - 5m (16.4ft) - 50/125um OM3 10G LSZH - Beyondtech PureOptics Cable Series""";"""B00IS6PTY0""";"""https://www.amazon.com/dp/B00IS6PTY0""";"""https://m.media-amazon.com/images/I/81toYD9onlL._AC_UY218_.jpg""";4.8;107;FALSE;TRUE;"""USD""";13.68;;;
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;8;"""1 Meter Multimode Duplex Fiber Optic Cable (62.5/125) - LC to LC - Orange""";"""B004Z9301I""";"""https://www.amazon.com/dp/B004Z9301I""";"""https://m.media-amazon.com/images/I/41hTpYiUU2L._AC_UY218_.jpg""";4.8;362;FALSE;FALSE;"""USD""";13.99;;;
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;9;"""FiberCablesDirect - 3M OS2 LC LC Fiber Patch Cable | Duplex 9/125 LC to LC Singlemode Jumper 3 Meter (9.84ft) | Length Options: 0.5M-300M | 1g 10g sfp 10gbase lc/lc dx Yellow Zip-Cord PVC ofnr lc-lc""";"""B0099S4O10""";"""https://www.amazon.com/dp/B0099S4O10""";"""https://m.media-amazon.com/images/I/61Kpmk8DDvL._AC_UY218_.jpg""";4.4;48;FALSE;FALSE;"""USD""";9.89;;;
search""";"""amazon.com""";"""lc to lc fiber patch cable""";;;10;"""FiberCablesDirect - 5M OM3 LC LC Fiber Patch Cable | 10Gb Duplex 50/125 LC to LC Multimode Jumper 5 Meter (16.40ft) | Length Options: 0.5M-300M | 1g 10g 40g lc-lc dplx mmf 10gbase sfp+ aqua ofnr lommf""";"""B0099S4MUI""";"""https://www.amazon.com/dp/B0099S4MUI""";"""https://m.media-amazon.com/images/I/61GYozRRTfL._AC_UY218_.jpg""";4.5;42;FALSE;FALSE;"""USD""";13.95;;;
